"time","left.y","left.x","left.dt","right.y","right.x","right.dt","x.mid","dt.mid"
7445,1060.62,-88.8827,5653.64,1052.84,-361.928,5612.17,-225.40535,5632.905
7478,1063.05,-89.0862,5666.59,1055.7,-390.555,5737.06,-239.8206,5701.825
7512,1063.87,-89.1551,5670.97,1045.35,-386.725,5680.81,-237.94005,5675.89
7544,1062.07,-109.305,5661.38,1051.78,-389.105,5715.76,-249.205,5688.57
7578,1063.04,-109.405,5666.53,1042.49,-365.353,5665.28,-237.379,5665.905
7612,1062.25,-129.628,5662.32,1033.56,-369.421,5728.36,-249.5245,5695.34
7645,1065.41,-130.013,5679.13,1019.67,-305.683,5765.98,-217.848,5722.555
7679,1066.72,-130.173,5686.12,1022.99,-280.253,5669.81,-205.213,5677.965
7713,1054.32,-148.813,5620.02,1011.74,-263.343,5744.46,-206.078,5682.24
7746,0,0,0,0,0,0,0,0
7780,NA,NA,NA,NA,NA,NA,NA,NA
7813,0,0,0,0,0,0,0,0
7846,0,0,0,0,0,0,0,0
7879,0,0,0,0,0,0,0,0
7913,1064.58,-111.699,5785.33,1050.9,-66.5051,5824.48,-89.10205,5804.905
7946,1067.93,-112.05,5803.51,1059.02,-45.9714,5869.47,-79.0107,5836.49
7980,1065.87,-111.834,5792.32,1055.66,-66.8066,5850.89,-89.3203,5821.605
8012,1061.42,-111.367,5768.17,1056.57,-68.2196,5974.64,-89.7933,5871.405
8048,1060.88,-111.31,5765.19,1058.79,-67.0045,5868.22,-89.15725,5816.705
8080,0,0,0,0,0,0,0,0
8113,NA,NA,NA,NA,NA,NA,NA,NA
8147,0,0,0,0,0,0,0,0
8181,1059.55,-152.465,5757.96,1051.85,-66.565,5829.72,-109.515,5793.84
8214,1056.14,-176.672,5739.43,1056.6,-45.8665,5856.08,-111.26925,5797.755
8248,1044.59,-178.213,5789.49,1060.11,-46.0189,5875.53,-112.11595,5832.51
8281,1043.72,-178.064,5784.66,1063.78,-46.1782,5895.87,-112.1211,5840.265
8315,1048.91,-199.796,5813.43,1079.77,-45.9589,5867.88,-122.87745,5840.655
8348,1048.96,-220.654,5813.73,1076.8,-66.8162,5851.72,-143.7351,5832.725
8381,1055.76,-243.067,5851.42,1077.9,-66.8847,5857.72,-154.97585,5854.57
8415,NA,NA,NA,NA,NA,NA,NA,NA
8448,NA,NA,NA,NA,NA,NA,NA,NA
8481,1052.44,-242.304,5833.04,1081.1,-46.9298,5991.84,-144.6169,5912.44
8514,1055.79,-243.075,5851.59,1082.06,-46.9715,5997.16,-145.02325,5924.375
8548,1048.33,-241.357,5810.25,1082.17,-46.9763,5997.78,-144.16665,5904.015
8582,1049.55,-220.779,5817.01,1082.81,-47.004,6001.31,-133.8915,5909.16
8615,1054.76,-221.874,5845.87,1083.02,-47.0131,6002.48,-134.44355,5924.175
8649,1091.96,-46.4777,5934.11,1053.75,-221.662,5840.29,-134.06985,5887.2
8683,NA,NA,NA,NA,NA,NA,NA,NA
8716,1077.98,-68.2188,5974.56,1057.86,-180.478,5863.07,-124.3484,5918.815
8749,NA,NA,NA,NA,NA,NA,NA,NA
8783,1067.33,-153.585,5800.24,1083.38,-25.4974,6004.52,-89.5412,5902.38
8816,1071.48,-179.239,5822.82,1083.71,-25.505,6006.31,-102.372,5914.565
8850,1072.46,-225.598,5943.97,1079.92,-46.8786,5985.3,-136.2383,5964.635
8883,1071,-200.029,5820.18,1082.11,-46.9737,5997.44,-123.50135,5908.81
8917,1071.57,-179.253,5823.28,1081.26,-46.937,5992.76,-113.095,5908.02
8949,1061.28,-155.75,5881.99,1077.75,-46.7845,5973.29,-101.26725,5927.64
8983,1068.07,-135.519,5919.61,1073.61,-46.6049,5950.36,-91.06195,5934.985
9017,1068.71,-114.36,5923.19,1077.54,-25.3598,5972.11,-69.8599,5947.65
9050,1071.26,-114.634,5937.34,1078.79,-25.3892,5979.03,-70.0116,5958.185
9084,1071.52,-114.661,5938.76,1079.69,-25.4106,5984.07,-70.0358,5961.415
9118,1072.85,-114.804,5946.16,1079.83,-25.4138,5984.82,-70.1089,5965.49
9151,1073.33,-114.855,5948.79,1080.23,-25.4232,5987.03,-70.1391,5967.91
9184,1085.88,-113.933,5901.05,1081.16,-25.445,5992.16,-69.689,5946.605
9217,1075.3,-115.066,5959.73,1081.93,-25.4632,5996.47,-70.2646,5978.1
9252,1075.72,-115.111,5962.06,1082.05,-25.4661,5997.14,-70.28855,5979.6
9284,1077.14,-115.262,5969.9,1083.12,-25.4913,6003.08,-70.37665,5986.49
9318,1077.64,-115.316,5972.71,1083.09,-25.4905,6002.89,-70.40325,5987.8
9351,1079.17,-115.479,5981.14,1083.69,-25.5046,6006.2,-70.4918,5993.67
9385,1079.67,-115.534,5983.96,1084.57,-25.5253,6011.09,-70.52965,5997.525
9419,1080.27,-115.597,5987.24,1083.19,-25.4929,6003.44,-70.54495,5995.34
9452,1080.11,-115.58,5986.35,1081.91,-25.4627,5996.35,-70.52135,5991.35
9485,1080.24,-115.594,5987.08,1081.9,-25.4626,5996.31,-70.5283,5991.695
9519,1080.07,-115.577,5986.18,1081.8,-25.4601,5995.73,-70.51855,5990.955
9552,1080.57,-115.629,5988.92,1082.44,-25.4752,5999.28,-70.5521,5994.1
9586,1093.04,-114.684,5939.96,1081.95,-25.4637,5996.58,-70.07385,5968.27
9619,1093.32,-114.714,5941.52,1080.86,-25.438,5990.53,-70.076,5966.025
9652,1092.74,-114.653,5938.34,1080.01,-25.4181,5985.83,-70.03555,5962.085
9685,1091.85,-114.56,5933.53,1079.77,-25.4124,5984.51,-69.9862,5959.02
9719,1091.6,-114.533,5932.15,1079.26,-25.4005,5981.68,-69.96675,5956.915
9753,1091.09,-114.48,5929.4,1077.98,-25.3701,5974.54,-69.92505,5951.97
9786,1089.87,-114.351,5922.73,1076.97,-25.3465,5968.98,-69.84875,5945.855
9819,1076.76,-115.221,5967.78,1065.89,-25.5944,6027.35,-70.4077,5997.565
9854,1085.99,-113.945,5901.66,1066.09,-25.5992,6028.48,-69.7721,5965.07
9887,1085.48,-113.891,5898.89,1062.69,-25.5175,6009.24,-69.70425,5954.065
9921,1086.53,-135.176,5904.63,1063.67,-25.5411,6014.8,-80.35855,5959.715
9954,1086.79,-135.207,5906,1063.33,-25.5329,6012.87,-80.36995,5959.435
9987,1086.7,-135.196,5905.5,1060.25,-25.5626,6019.87,-80.3793,5962.685
10018,1086.06,-135.116,5902.04,1076.15,-25.3273,5964.45,-80.22165,5933.245
10054,1086.46,-135.166,5904.2,1094.67,-3.92892,5948.83,-69.54746,5926.515
10087,1085.6,-135.06,5899.57,1092.12,17.3626,5934.98,-58.8487,5917.275
10120,1085.64,-135.065,5899.79,1097.07,43.0958,5961.87,-45.9846,5930.83
10154,1086.12,-135.124,5902.37,1094.36,64.3156,5947.17,-35.4042,5924.77
10189,1086.84,-135.213,5906.28,1091.82,64.1659,5933.33,-35.52355,5919.805
10221,1083.45,-113.678,5887.87,1088.28,63.9583,5914.13,-24.85985,5901
10254,1086.75,-135.202,5905.78,1088.05,83.52,5799.83,-25.841,5852.805
10288,1087.16,-135.254,5908.05,1093.94,85.6087,5944.88,-24.82265,5926.465
10322,1087.78,-135.33,5911.38,1092.82,83.8864,5825.28,-25.7218,5868.33
10355,1100.81,-113.292,5867.83,1102.44,84.6244,5876.53,-14.3338,5872.18
10389,1099.72,-113.18,5862.06,1105.27,84.8418,5891.62,-14.1691,5876.84
10422,1102.46,-134.535,5876.63,1112.24,85.3766,5928.76,-24.5792,5902.695
10455,1102.72,-134.567,5878.04,1112.51,85.3977,5930.23,-24.58465,5904.135
10488,1103.83,-134.703,5883.97,1118.41,84.2402,5849.85,-25.2314,5866.91
